                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77164,                 3.1482,                 1.3314,                0.00362,                      1,                 0.1117,                0.05435,                 1.3279,                 4.0179,                 2.1517,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                0.80447,                 3.1169,                 1.3137,                0.00354,                      1,                0.30472,                0.15871,                0.83517,                 3.7992,                  1.546,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                0.63047,                 3.0416,                 1.1779,                0.00343,                      1,                 0.4669,                 0.4047,                0.64061,                 3.6029,                 1.2415,             0.00013072,             0.00013072,             0.00013072
                      4,                0.67838,                 2.5438,                 1.0782,                0.00339,                      1,                0.92833,                0.78855,                 0.4912,                 3.3783,                0.95551,             0.00017792,             0.00017792,             0.00017792
                      5,                0.71617,                  2.091,                 1.2325,                 0.5318,                   0.75,                0.74116,                 0.5906,                 0.5395,                  3.109,                0.98954,             0.00022414,             0.00022414,             0.00022414
                      6,                0.57671,                 1.7911,                 1.0024,                0.00333,                      1,                0.74202,                0.63467,                0.52363,                 3.1144,                0.94024,             0.00026936,             0.00026936,             0.00026936
                      7,                0.65255,                 1.6538,                 1.1564,                0.00339,                      1,                0.84976,                 0.7932,                0.46935,                 3.2146,                0.96101,              0.0003136,              0.0003136,              0.0003136
                      8,                0.54809,                   1.46,                 1.0535,                0.00342,                      1,                  0.995,                0.89542,                0.44807,                 3.2444,                0.96005,             0.00035684,             0.00035684,             0.00035684
                      9,                0.47348,                  1.325,                0.94239,                0.00347,                      1,                  0.995,                0.90146,                0.43033,                 3.1628,                0.90619,             0.00039909,             0.00039909,             0.00039909
                     10,                0.55293,                 1.3763,                 1.0099,                0.93851,                    0.5,                  0.995,                0.90783,                0.42599,                 2.9302,                0.88579,             0.00044036,             0.00044036,             0.00044036
                     11,                0.84914,                 2.1852,                 1.2683,                0.90678,                    0.5,                  0.995,                0.89637,                0.51327,                  2.611,                0.95571,             0.00048063,             0.00048063,             0.00048063
                     12,                0.49631,                 1.1566,                 1.0004,                0.90805,                    0.5,                  0.995,                0.93672,                0.50191,                 2.5972,                0.97471,             0.00051991,             0.00051991,             0.00051991
                     13,                0.69472,                 1.4041,                 1.2533,                0.87211,                0.85519,                  0.995,                0.88571,                0.49408,                 2.5378,                0.98249,              0.0005582,              0.0005582,              0.0005582
                     14,                  0.512,                 1.1875,                0.97962,                0.82849,                 0.9708,                  0.995,                0.89842,                0.46787,                 2.1791,                0.96159,             0.00059551,             0.00059551,             0.00059551
                     15,                0.53527,                 1.1195,                0.97128,                0.80241,                0.85868,                  0.995,                0.86385,                0.54677,                 2.3551,                 1.0034,             0.00063182,             0.00063182,             0.00063182
                     16,                 0.4641,                 1.1794,                0.94072,                0.80594,                0.99473,                  0.995,                0.87036,                0.54649,                 2.2524,                0.99738,             0.00066714,             0.00066714,             0.00066714
                     17,                0.49345,                 1.0181,                0.94738,                0.84174,                0.92711,                  0.995,                0.86046,                0.44522,                 2.2567,                0.94649,             0.00070147,             0.00070147,             0.00070147
                     18,                0.61843,                 1.2374,                 1.0526,                0.86342,                0.84983,                0.95333,                0.84848,                0.42952,                 2.3589,                0.90661,             0.00073482,             0.00073482,             0.00073482
                     19,                0.46901,                 1.0709,                0.96339,                0.94809,                   0.75,                0.88875,                0.74944,                0.54139,                 2.6713,                0.97069,             0.00076717,             0.00076717,             0.00076717
                     20,                0.43043,                0.96396,                0.91239,                0.95046,                   0.75,                0.83111,                0.67144,                0.69182,                 2.8228,                 1.1014,             0.00079853,             0.00079853,             0.00079853
                     21,                0.53047,                 1.1031,                0.99738,                0.86576,                0.72386,                0.87526,                0.63186,                0.89988,                  2.653,                 1.3667,              0.0008289,              0.0008289,              0.0008289
                     22,                 0.5573,                 1.1993,                 0.9828,                0.87304,                  0.875,                0.87658,                0.64376,                0.83247,                 2.2486,                 1.3424,             0.00085828,             0.00085828,             0.00085828
                     23,                0.48032,                 1.0197,                0.93976,                0.98286,                  0.875,                0.90571,                0.69255,                0.85231,                  2.178,                 1.3023,             0.00088667,             0.00088667,             0.00088667
                     24,                0.74069,                 1.0963,                 1.0684,                      1,                0.95715,                  0.995,                0.80182,                0.71913,                 2.1698,                 1.1678,             0.00091407,             0.00091407,             0.00091407
                     25,                0.47009,                0.97587,                0.90687,                0.87786,                      1,                   0.97,                0.84942,                0.61306,                 1.8911,                 1.1031,             0.00094048,             0.00094048,             0.00094048
                     26,                 0.4729,                 1.0429,                0.97996,                0.98683,                      1,                  0.995,                0.87944,                0.49913,                 1.5311,                0.99219,              0.0009659,              0.0009659,              0.0009659
                     27,                 0.5159,                 1.1028,                 1.0032,                0.88234,                      1,                  0.995,                0.81737,                0.53461,                 1.5866,                0.98592,             0.00099033,             0.00099033,             0.00099033
                     28,                0.43869,                0.84514,                0.92165,                0.96061,                      1,                  0.995,                0.80213,                0.67638,                 1.8139,                 1.0436,              0.0010138,              0.0010138,              0.0010138
                     29,                0.58213,                 1.0131,                 1.0319,                0.96061,                      1,                  0.995,                0.80213,                0.67638,                 1.8139,                 1.0436,              0.0010362,              0.0010362,              0.0010362
