                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.52555,                 1.0785,                 1.0183,                0.64449,                0.86297,                0.91333,                0.73925,                0.89393,                 2.0437,                 1.4388,             0.00051015,             0.00051015,             0.00051015
                     36,                0.53158,                0.99166,                0.99444,                0.60241,                0.88135,                0.88985,                0.71165,                0.83269,                 2.2198,                 1.3671,             0.00050254,             0.00050254,             0.00050254
                     37,                0.52902,                0.99956,                 1.0178,                0.64867,                0.88945,                0.82978,                0.64183,                0.85425,                 2.2559,                 1.3929,             0.00049493,             0.00049493,             0.00049493
                     38,                0.54985,                 1.0352,                  1.009,                0.73331,                0.80339,                0.89903,                0.71689,                0.81112,                 2.1135,                 1.3486,             0.00048732,             0.00048732,             0.00048732
                     39,                0.51581,                0.95455,                 1.0091,                0.70581,                0.81166,                0.90421,                0.74043,                0.81492,                 2.0604,                 1.3675,              0.0004797,              0.0004797,              0.0004797
                     40,                0.50718,                0.98427,                0.98094,                0.72712,                 0.8415,                0.91976,                0.74542,                0.81997,                 1.9745,                 1.3838,             0.00047209,             0.00047209,             0.00047209
                     41,                0.51308,                0.95892,                0.99449,                0.69282,                0.84827,                0.90287,                0.74315,                0.81093,                 1.9414,                 1.3544,             0.00046448,             0.00046448,             0.00046448
                     42,                0.51886,                0.97984,                 1.0075,                0.66547,                0.93532,                0.86959,                0.70222,                0.82045,                 1.9611,                 1.3045,             0.00045686,             0.00045686,             0.00045686
                     43,                0.51145,                0.95486,                 1.0178,                0.68077,                0.77038,                0.86653,                0.71504,                0.84641,                 1.9608,                 1.3296,             0.00044925,             0.00044925,             0.00044925
                     44,                0.51748,                0.97355,                 1.0099,                0.75604,                0.72417,                0.80132,                0.64039,                0.88418,                 2.0159,                 1.3935,             0.00044164,             0.00044164,             0.00044164
                     45,                0.49734,                0.97518,                0.98236,                0.75685,                0.71034,                0.79194,                0.61138,                0.89398,                 2.0099,                 1.4265,             0.00043402,             0.00043402,             0.00043402
                     46,                0.54769,                0.97703,                 1.0077,                0.79999,                0.73057,                0.81608,                0.62076,                0.90087,                 1.9145,                 1.4035,             0.00042641,             0.00042641,             0.00042641
                     47,                0.46941,                 0.8748,                0.96241,                0.90911,                0.67188,                0.80887,                0.61452,                0.93223,                 1.9691,                 1.4387,              0.0004188,              0.0004188,              0.0004188
                     48,                0.51408,                0.91961,                0.99295,                0.89359,                0.59254,                0.77733,                0.59127,                0.94317,                 2.0582,                 1.4552,             0.00041118,             0.00041118,             0.00041118
                     49,                0.48196,                0.91138,                0.96309,                0.77131,                0.80472,                0.83688,                0.62982,                0.91038,                 1.9745,                 1.4311,             0.00040357,             0.00040357,             0.00040357
                     50,                0.54451,                0.98806,                 1.0457,                0.82848,                0.74446,                0.83744,                0.64578,                0.90609,                 2.0094,                 1.4331,             0.00039596,             0.00039596,             0.00039596
                     51,                0.52692,                 0.9119,                0.98862,                0.75263,                0.78003,                0.84525,                0.65012,                0.92847,                 2.0203,                 1.4699,             0.00038835,             0.00038835,             0.00038835
                     52,                0.47601,                0.85719,                0.96251,                0.83754,                0.67587,                0.86568,                0.69551,                0.91808,                 2.0203,                 1.4302,             0.00038073,             0.00038073,             0.00038073
                     53,                0.46933,                0.82388,                0.95174,                0.90542,                0.70436,                0.92656,                0.76322,                0.88505,                 1.8704,                 1.4055,             0.00037312,             0.00037312,             0.00037312
                     54,                0.48903,                0.84148,                0.98956,                0.94472,                0.72421,                0.92442,                0.75555,                0.86655,                 1.7361,                 1.3383,             0.00036551,             0.00036551,             0.00036551
                     55,                0.44853,                0.78619,                0.97377,                0.90589,                0.73587,                0.84796,                0.66502,                0.85904,                 1.7841,                  1.315,             0.00035789,             0.00035789,             0.00035789
                     56,                0.43958,                 0.8032,                0.93579,                0.73365,                0.75867,                0.85774,                0.67685,                0.86136,                 1.7603,                 1.3391,             0.00035028,             0.00035028,             0.00035028
                     57,                0.48353,                0.79665,                0.98688,                0.71394,                0.85755,                0.89782,                0.70361,                 0.8928,                 1.7008,                 1.3887,             0.00034267,             0.00034267,             0.00034267
                     58,                0.48887,                0.79521,                 1.0179,                0.77168,                0.87343,                0.88463,                0.66995,                0.93841,                 1.6939,                  1.463,             0.00033505,             0.00033505,             0.00033505
                     59,                0.42997,                  0.762,                0.95326,                0.70285,                0.88717,                0.86611,                0.66923,                0.95169,                 1.7099,                 1.4816,             0.00032744,             0.00032744,             0.00032744
                     60,                0.48579,                0.82891,                0.98278,                0.80585,                0.84934,                0.90306,                0.68743,                0.96979,                 1.7437,                 1.4924,             0.00031983,             0.00031983,             0.00031983
                     61,                0.46186,                0.82822,                0.97422,                0.83095,                 0.8712,                0.90306,                0.67509,                0.97418,                 1.6985,                 1.4939,             0.00031221,             0.00031221,             0.00031221
                     62,                0.43542,                0.77835,                0.96791,                0.84096,                0.86719,                  0.995,                0.77839,                0.93791,                 1.5865,                 1.4724,              0.0003046,              0.0003046,              0.0003046
                     63,                0.47094,                0.83604,                0.99063,                0.72849,                0.96296,                0.98583,                0.78191,                0.91319,                 1.5718,                 1.4505,             0.00029699,             0.00029699,             0.00029699
                     64,                0.48009,                 0.7865,                0.98059,                0.78128,                0.96296,                0.98583,                 0.7824,                0.90705,                 1.4924,                 1.4275,             0.00028937,             0.00028937,             0.00028937
                     65,                 0.4479,                0.80802,                0.99414,                0.82649,                0.93189,                0.95819,                0.75503,                0.89314,                 1.5118,                 1.4043,             0.00028176,             0.00028176,             0.00028176
                     66,                0.42836,                0.78462,                 0.9639,                0.83801,                0.97057,                0.97667,                0.77867,                0.91676,                 1.6085,                 1.4362,             0.00027415,             0.00027415,             0.00027415
                     67,                0.41594,                0.72113,                0.94655,                0.82246,                 0.9475,                0.97413,                0.76684,                0.93876,                 1.6576,                 1.4796,             0.00026654,             0.00026654,             0.00026654
                     68,                 0.4321,                0.77592,                0.98154,                0.74238,                0.96807,                0.92463,                0.74367,                0.94405,                 1.7903,                 1.4977,             0.00025892,             0.00025892,             0.00025892
                     69,                0.41614,                0.71058,                0.97499,                 0.6975,                0.97933,                0.91794,                0.74089,                0.93578,                  1.827,                 1.4768,             0.00025131,             0.00025131,             0.00025131
                     70,                0.41638,                0.69316,                0.93449,                0.68134,                0.95225,                0.91239,                0.74133,                0.91487,                  1.788,                 1.4472,              0.0002437,              0.0002437,              0.0002437
                     71,                0.41436,                0.74865,                0.95753,                 0.6683,                 0.9537,                0.91506,                0.73939,                0.90822,                 1.7175,                 1.4544,             0.00023608,             0.00023608,             0.00023608
                     72,                0.39292,                0.65905,                0.92774,                0.63965,                 0.9537,                0.90906,                0.72427,                0.93582,                  1.674,                  1.511,             0.00022847,             0.00022847,             0.00022847
                     73,                0.40699,                0.71815,                0.92906,                0.64219,                 0.9636,                0.92627,                0.73075,                 0.9442,                 1.6501,                  1.543,             0.00022086,             0.00022086,             0.00022086
                     74,                0.40251,                0.68756,                0.94253,                0.86572,                0.75056,                0.92784,                0.74075,                0.94659,                  1.533,                 1.5911,             0.00021324,             0.00021324,             0.00021324
                     75,                0.42102,                0.73466,                0.93828,                0.85558,                0.79456,                0.92784,                0.72977,                0.94439,                  1.481,                 1.5804,             0.00020563,             0.00020563,             0.00020563
                     76,                 0.4127,                0.70245,                0.97346,                0.70236,                0.97222,                 0.9471,                0.75044,                0.91435,                 1.4741,                 1.4801,             0.00019802,             0.00019802,             0.00019802
                     77,                0.40575,                0.67407,                0.93511,                0.72247,                0.95994,                0.94972,                0.77382,                0.89053,                 1.4867,                 1.4472,              0.0001904,              0.0001904,              0.0001904
                     78,                0.42926,                0.71398,                0.95436,                0.74775,                0.93519,                0.97478,                0.79696,                0.86624,                 1.4626,                 1.4304,             0.00018279,             0.00018279,             0.00018279
                     79,                0.40494,                0.69111,                0.94302,                0.83683,                0.92016,                0.97478,                0.78869,                 0.8665,                 1.4423,                  1.433,             0.00017518,             0.00017518,             0.00017518
                     80,                0.35989,                0.65567,                0.93498,                0.70777,                0.93519,                0.97478,                0.80261,                0.87217,                  1.431,                 1.4462,             0.00016757,             0.00016757,             0.00016757
                     81,                0.41909,                0.73312,                0.94592,                0.69175,                0.93519,                0.97111,                0.80282,                0.87459,                 1.4456,                 1.4494,             0.00015995,             0.00015995,             0.00015995
                     82,                0.42007,                0.69129,                0.95525,                0.85614,                 0.8532,                0.95627,                0.78397,                0.86823,                 1.4477,                 1.4388,             0.00015234,             0.00015234,             0.00015234
                     83,                 0.3765,                0.63721,                0.91261,                0.86642,                0.85124,                0.95627,                0.79181,                0.86682,                 1.4548,                 1.4405,             0.00014473,             0.00014473,             0.00014473
                     84,                0.41595,                0.68505,                0.96633,                0.89689,                0.83139,                0.92745,                 0.7565,                0.87539,                 1.4806,                 1.4476,             0.00013711,             0.00013711,             0.00013711
                     85,                0.42961,                0.69824,                0.97321,                0.78353,                0.89122,                0.90533,                0.73312,                0.87648,                 1.4847,                 1.4498,              0.0001295,              0.0001295,              0.0001295
                     86,                0.34917,                0.64318,                 0.9203,                 0.8522,                0.88547,                0.89706,                0.72816,                0.88728,                 1.4845,                 1.4739,             0.00012189,             0.00012189,             0.00012189
                     87,                0.38096,                0.66256,                0.91789,                0.85043,                0.88699,                0.89653,                0.72746,                0.88618,                 1.4766,                 1.4776,             0.00011427,             0.00011427,             0.00011427
                     88,                0.38705,                 0.6604,                0.94495,                0.89422,                0.88367,                0.91683,                0.73867,                0.88103,                 1.4455,                 1.4678,             0.00010666,             0.00010666,             0.00010666
                     89,                0.36992,                0.62917,                0.92666,                0.88667,                0.87929,                0.91796,                0.72759,                0.88346,                 1.4416,                 1.4716,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     90,                0.35134,                0.58451,                0.94182,                0.86824,                0.87175,                0.92176,                0.73102,                0.90022,                  1.419,                 1.4847,             9.1434e-05,             9.1434e-05,             9.1434e-05
                     91,                0.30738,                0.93379,                0.84598,                0.86305,                0.82897,                0.92532,                0.73722,                0.91134,                 1.3968,                 1.5005,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     92,                0.32182,                0.93493,                0.87082,                0.81567,                0.90261,                0.95833,                0.76064,                0.93011,                 1.4142,                 1.5209,             7.6208e-05,             7.6208e-05,             7.6208e-05
                     93,                0.28969,                 0.8942,                0.90469,                0.79135,                0.90775,                0.95833,                0.75809,                0.93876,                 1.4358,                  1.523,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     94,                0.28313,                0.85325,                0.87327,                0.77959,                 0.9141,                0.95833,                0.75882,                0.95155,                 1.4752,                 1.5357,             6.0982e-05,             6.0982e-05,             6.0982e-05
                     95,                0.27872,                 0.8889,                0.86151,                0.75983,                0.91857,                0.96444,                0.76053,                0.95678,                 1.4845,                 1.5466,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     96,                0.26883,                0.87687,                0.85699,                0.73328,                0.91986,                0.96444,                0.76454,                 0.9599,                 1.4932,                 1.5647,             4.5756e-05,             4.5756e-05,             4.5756e-05
                     97,                0.25976,                0.88283,                0.84714,                0.73931,                0.91784,                0.96444,                0.76645,                0.96079,                 1.4893,                  1.576,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     98,                0.27254,                 0.8703,                0.83672,                  0.738,                0.92474,                0.96444,                0.76057,                0.95721,                 1.4847,                 1.5876,             3.0529e-05,             3.0529e-05,             3.0529e-05
                     99,                 0.2514,                0.84552,                0.85022,                0.74007,                0.92251,                0.96444,                0.76979,                0.95671,                 1.4669,                 1.5956,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    100,                 0.2529,                0.82664,                0.85938,                0.74783,                0.92319,                0.96444,                0.77225,                0.95721,                 1.4654,                 1.6091,             1.5303e-05,             1.5303e-05,             1.5303e-05
