                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.50875,                 1.0971,                0.99883,                 0.8971,                0.72864,                0.70011,                0.53769,                0.66313,                 1.9671,                 1.2971,             0.00082925,             0.00082925,             0.00082925
                     36,                0.48197,                0.96909,                0.98262,                0.83898,                0.73471,                0.80838,                0.57777,                0.67861,                 1.7979,                  1.299,             0.00081688,             0.00081688,             0.00081688
                     37,                0.50744,                0.97254,                0.99029,                 0.8273,                0.88228,                   0.97,                0.80626,                0.66614,                 1.6276,                 1.3162,              0.0008045,              0.0008045,              0.0008045
                     38,                 0.4561,                 0.9288,                0.96368,                0.74178,                0.84482,                  0.995,                0.79102,                 0.6399,                 1.7146,                 1.2862,             0.00079213,             0.00079213,             0.00079213
                     39,                0.45936,                0.93141,                0.95369,                0.89878,                   0.75,                  0.995,                 0.7906,                0.60591,                 1.6807,                 1.2602,             0.00077975,             0.00077975,             0.00077975
                     40,                0.42739,                 0.8596,                0.94189,                0.92987,                   0.75,                  0.995,                0.82833,                0.66184,                 1.5601,                 1.3877,             0.00076738,             0.00076738,             0.00076738
                     41,                0.38819,                0.83851,                0.94625,                0.96376,                   0.75,                  0.995,                0.84952,                0.61547,                 1.5396,                 1.3426,               0.000755,               0.000755,               0.000755
                     42,                0.37819,                0.76796,                0.92589,                0.95393,                0.82101,                  0.995,                 0.8642,                0.52897,                 1.4527,                 1.2402,             0.00074263,             0.00074263,             0.00074263
                     43,                0.42446,                0.92326,                0.93819,                0.95073,                0.93806,                  0.995,                 0.8671,                0.56762,                 1.4595,                 1.2402,             0.00073025,             0.00073025,             0.00073025
                     44,                 0.4011,                0.85837,                0.92493,                0.97566,                0.89694,                  0.995,                0.84667,                0.61027,                 1.5112,                 1.2346,             0.00071788,             0.00071788,             0.00071788
                     45,                0.46776,                0.84119,                0.99978,                 0.9664,                 0.8856,                0.93297,                0.81906,                0.65431,                 1.6731,                 1.2778,              0.0007055,              0.0007055,              0.0007055
                     46,                 0.4677,                0.87839,                0.97494,                0.95323,                 0.8261,                0.98667,                0.82466,                0.67425,                 1.7552,                 1.3096,             0.00069313,             0.00069313,             0.00069313
                     47,                 0.4514,                0.90969,                0.95703,                0.93932,                0.81585,                0.98667,                0.81871,                0.68554,                 1.7324,                 1.3234,             0.00068075,             0.00068075,             0.00068075
                     48,                0.52478,                0.92514,                0.99423,                0.94428,                0.86683,                  0.995,                0.82274,                0.71674,                 1.6077,                  1.334,             0.00066838,             0.00066838,             0.00066838
                     49,                0.39885,                0.76267,                0.96717,                0.97241,                0.88525,                  0.995,                0.82704,                0.74868,                  1.424,                 1.4736,               0.000656,               0.000656,               0.000656
                     50,                0.44976,                0.83962,                0.96504,                0.96182,                0.98879,                  0.995,                0.82694,                0.72073,                 1.3545,                 1.4478,             0.00064362,             0.00064362,             0.00064362
                     51,                 0.4078,                0.75841,                0.93064,                 0.9357,                      1,                  0.995,                0.82424,                0.69783,                 1.3056,                  1.429,             0.00063125,             0.00063125,             0.00063125
                     52,                0.38617,                0.80944,                0.95046,                0.94334,                      1,                  0.995,                0.82023,                0.71839,                 1.2865,                 1.5194,             0.00061887,             0.00061887,             0.00061887
                     53,                0.40397,                0.78615,                 0.9418,                0.91373,                      1,                  0.995,                0.66844,                 0.7715,                 1.3467,                 1.5378,              0.0006065,              0.0006065,              0.0006065
                     54,                0.39452,                0.76097,                0.91544,                0.93429,                      1,                  0.995,                0.66561,                 0.7841,                 1.3952,                 1.4714,             0.00059413,             0.00059413,             0.00059413
                     55,                0.45744,                0.81065,                0.94827,                0.94877,                 0.9892,                  0.995,                0.67671,                0.71813,                 1.5092,                  1.341,             0.00058175,             0.00058175,             0.00058175
                     56,                0.42354,                0.76432,                0.94264,                0.88512,                0.99218,                  0.995,                0.71549,                0.69545,                 1.5477,                 1.3243,             0.00056938,             0.00056938,             0.00056938
                     57,                0.39742,                0.74219,                0.95399,                0.85752,                      1,                  0.995,                0.79788,                0.68365,                 1.5267,                  1.321,               0.000557,               0.000557,               0.000557
                     58,                 0.4054,                0.71435,                0.94023,                0.84342,                      1,                  0.995,                0.78183,                0.64507,                 1.4877,                 1.3208,             0.00054463,             0.00054463,             0.00054463
                     59,                0.43627,                0.82821,                  0.912,                0.87567,                      1,                  0.995,                0.74669,                0.68159,                  1.372,                 1.3157,             0.00053225,             0.00053225,             0.00053225
                     60,                0.31284,                0.62673,                0.89728,                0.89473,                 0.9978,                  0.995,                0.77178,                0.70623,                 1.2867,                 1.3493,             0.00051988,             0.00051988,             0.00051988
                     61,                0.44017,                0.73159,                0.93628,                0.89071,                0.98729,                  0.995,                0.75862,                0.67661,                 1.2572,                 1.3194,              0.0005075,              0.0005075,              0.0005075
                     62,                0.37231,                0.67412,                0.92477,                0.86602,                 0.9947,                  0.995,                0.76272,                 0.6582,                 1.2569,                 1.3125,             0.00049513,             0.00049513,             0.00049513
                     63,                0.33156,                0.67832,                0.91136,                0.84046,                      1,                  0.995,                0.79761,                0.68116,                 1.2152,                 1.3368,             0.00048275,             0.00048275,             0.00048275
                     64,                 0.3586,                 0.6618,                0.90179,                0.86893,                0.99315,                  0.995,                0.80784,                0.65485,                 1.1893,                 1.3067,             0.00047038,             0.00047038,             0.00047038
                     65,                0.38877,                0.67441,                 0.9118,                0.88051,                0.98175,                  0.995,                0.83553,                0.64167,                 1.1522,                  1.339,               0.000458,               0.000458,               0.000458
                     66,                0.42312,                0.64754,                0.92939,                  0.846,                0.86724,                0.91208,                0.78844,                0.58674,                 1.1342,                 1.2381,             0.00044563,             0.00044563,             0.00044563
                     67,                0.35444,                 0.6511,                0.91438,                0.85726,                0.86461,                0.91208,                0.76485,                0.60762,                 1.1783,                 1.2643,             0.00043325,             0.00043325,             0.00043325
                     68,                 0.3654,                0.67241,                0.97855,                0.93748,                 0.9294,                 0.9825,                0.78851,                 0.6452,                 1.1837,                 1.3736,             0.00042087,             0.00042087,             0.00042087
                     69,                0.40009,                0.75587,                0.92348,                0.84545,                0.93977,                  0.995,                 0.8366,                0.58611,                 1.2239,                 1.3756,              0.0004085,              0.0004085,              0.0004085
                     70,                0.33242,                 0.6254,                0.88707,                0.82616,                 0.9398,                  0.995,                 0.8674,                0.61788,                 1.2494,                 1.4336,             0.00039613,             0.00039613,             0.00039613
                     71,                0.37795,                0.72578,                0.91572,                0.81897,                0.94084,                  0.995,                0.84167,                0.58898,                 1.2991,                 1.3724,             0.00038375,             0.00038375,             0.00038375
                     72,                 0.3189,                0.59265,                0.92237,                0.81474,                0.94205,                  0.995,                0.88408,                0.57662,                  1.302,                 1.3495,             0.00037138,             0.00037138,             0.00037138
                     73,                0.31871,                 0.5785,                 0.8815,                 0.8179,                 0.9375,                 0.9825,                0.86246,                0.55172,                 1.2956,                 1.2866,               0.000359,               0.000359,               0.000359
                     74,                0.36255,                0.60243,                0.91251,                0.83512,                0.94249,                  0.995,                 0.8689,                0.54176,                 1.2472,                 1.2734,             0.00034663,             0.00034663,             0.00034663
